"engine","province","sex","year","age","population_count","population_count_pohem","all_count","relative_difference"
"CANSIM","All","Female","2022","[75,80[",734100,733000,1,-0.149843345593243
"CANSIM","All","Female","2022","[80,85[",486600,486200,1,-0.082203041512536
"CANSIM","All","Female","2022","[85,90[",314900,314700,1,-0.0635122261035249
"CANSIM","All","Female","2022","[90,95[",172200,172100,1,-0.0580720092915215
"CANSIM","All","Female","2022","[95,100[",57400,57300,1,-0.174216027874564
"CANSIM","All","Female","2022","[100,max[",10300,10400,1,0.970873786407767
"CANSIM","Newfoundland","All","2022","All",519300,422800,2,-18.5827074908531
"CANSIM","Newfoundland","All","2022","[20,25[",25800,25800,1,0
"CANSIM","Newfoundland","All","2022","[25,30[",26400,26500,1,0.378787878787879
"CANSIM","Newfoundland","All","2022","[30,35[",30000,30000,1,0
"CANSIM","Newfoundland","All","2022","[35,40[",30300,30300,1,0
"CANSIM","Newfoundland","All","2022","[40,45[",31100,31200,1,0.321543408360129
"CANSIM","Newfoundland","All","2022","[45,50[",33400,33500,1,0.29940119760479
"CANSIM","Newfoundland","All","2022","[50,55[",38100,38100,1,0
"CANSIM","Newfoundland","All","2022","[55,60[",42000,42000,1,0
"CANSIM","Newfoundland","All","2022","[60,65[",42600,42500,1,-0.234741784037559
"CANSIM","Newfoundland","All","2022","[65,70[",40100,40000,1,-0.249376558603491
"CANSIM","Newfoundland","All","2022","[70,75[",34500,34400,1,-0.289855072463768
"CANSIM","Newfoundland","All","2022","[75,80[",24100,24200,1,0.4149377593361
"CANSIM","Newfoundland","All","2022","[80,85[",13500,13400,1,-0.740740740740741
"CANSIM","Newfoundland","All","2022","[85,90[",7300,7200,1,-1.36986301369863
"CANSIM","Newfoundland","All","2022","[90,95[",2900,2900,1,0
"CANSIM","Newfoundland","All","2022","[95,100[",700,700,1,0
"CANSIM","Newfoundland","All","2022","[100,max[",100,100,1,0
"CANSIM","Newfoundland","Male","2022","All",255700,206100,1,-19.3977317168557
"CANSIM","Newfoundland","Male","2022","[20,25[",13300,13300,0,0
"CANSIM","Newfoundland","Male","2022","[25,30[",13600,13600,0,0
"CANSIM","Newfoundland","Male","2022","[30,35[",15000,15000,0,0
"CANSIM","Newfoundland","Male","2022","[35,40[",14700,14700,0,0
"CANSIM","Newfoundland","Male","2022","[40,45[",14900,14900,0,0
"CANSIM","Newfoundland","Male","2022","[45,50[",16300,16300,0,0
"CANSIM","Newfoundland","Male","2022","[50,55[",18700,18700,0,0
"CANSIM","Newfoundland","Male","2022","[55,60[",20500,20500,0,0
"CANSIM","Newfoundland","Male","2022","[60,65[",20900,20900,0,0
"CANSIM","Newfoundland","Male","2022","[65,70[",19500,19500,0,0
"CANSIM","Newfoundland","Male","2022","[70,75[",16800,16800,0,0
"CANSIM","Newfoundland","Male","2022","[75,80[",11600,11600,0,0
"CANSIM","Newfoundland","Male","2022","[80,85[",6100,6100,0,0
"CANSIM","Newfoundland","Male","2022","[85,90[",3000,3000,0,0
"CANSIM","Newfoundland","Male","2022","[90,95[",1000,1000,0,0
"CANSIM","Newfoundland","Male","2022","[95,100[",200,200,0,0
"CANSIM","Newfoundland","Male","2022","[100,max[",0,0,0,
"CANSIM","Newfoundland","Female","2022","All",263600,216700,1,-17.7921092564492
"CANSIM","Newfoundland","Female","2022","[20,25[",12500,12500,0,0
"CANSIM","Newfoundland","Female","2022","[25,30[",12900,12900,0,0
"CANSIM","Newfoundland","Female","2022","[30,35[",15000,15000,0,0
"CANSIM","Newfoundland","Female","2022","[35,40[",15600,15600,0,0
"CANSIM","Newfoundland","Female","2022","[40,45[",16300,16300,0,0
"CANSIM","Newfoundland","Female","2022","[45,50[",17200,17200,0,0
"CANSIM","Newfoundland","Female","2022","[50,55[",19400,19400,0,0
"CANSIM","Newfoundland","Female","2022","[55,60[",21500,21500,0,0
"CANSIM","Newfoundland","Female","2022","[60,65[",21600,21600,0,0
"CANSIM","Newfoundland","Female","2022","[65,70[",20500,20500,0,0
"CANSIM","Newfoundland","Female","2022","[70,75[",17600,17600,0,0
"CANSIM","Newfoundland","Female","2022","[75,80[",12600,12600,0,0
"CANSIM","Newfoundland","Female","2022","[80,85[",7300,7300,0,0
"CANSIM","Newfoundland","Female","2022","[85,90[",4200,4200,0,0
"CANSIM","Newfoundland","Female","2022","[90,95[",1900,1900,0,0
"CANSIM","Newfoundland","Female","2022","[95,100[",500,500,0,0
"CANSIM","Newfoundland","Female","2022","[100,max[",100,100,0,0
"CANSIM","P.E.I.","All","2022","All",160300,126200,2,-21.2726138490331
"CANSIM","P.E.I.","All","2022","[20,25[",9700,9700,1,0
"CANSIM","P.E.I.","All","2022","[25,30[",9200,9300,1,1.08695652173913
"CANSIM","P.E.I.","All","2022","[30,35[",9200,9100,1,-1.08695652173913
"CANSIM","P.E.I.","All","2022","[35,40[",9400,9300,1,-1.06382978723404
"CANSIM","P.E.I.","All","2022","[40,45[",9900,9900,1,0
"CANSIM","P.E.I.","All","2022","[45,50[",10300,10300,1,0
"CANSIM","P.E.I.","All","2022","[50,55[",10600,10600,1,0
"CANSIM","P.E.I.","All","2022","[55,60[",11500,11500,1,0
"CANSIM","P.E.I.","All","2022","[60,65[",11800,11800,1,0
"CANSIM","P.E.I.","All","2022","[65,70[",10700,10700,1,0
"CANSIM","P.E.I.","All","2022","[70,75[",9300,9300,1,0
"CANSIM","P.E.I.","All","2022","[75,80[",6700,6700,1,0
"CANSIM","P.E.I.","All","2022","[80,85[",4000,4000,1,0
"CANSIM","P.E.I.","All","2022","[85,90[",2400,2500,1,4.16666666666667
"CANSIM","P.E.I.","All","2022","[90,95[",1100,1000,1,-9.09090909090909
"CANSIM","P.E.I.","All","2022","[95,100[",300,400,1,33.3333333333333
"CANSIM","P.E.I.","All","2022","[100,max[",100,100,1,0
"CANSIM","P.E.I.","Male","2022","All",78500,61300,1,-21.9108280254777
"CANSIM","P.E.I.","Male","2022","[20,25[",5000,5000,0,0
"CANSIM","P.E.I.","Male","2022","[25,30[",4800,4800,0,0
"CANSIM","P.E.I.","Male","2022","[30,35[",4500,4500,0,0
"CANSIM","P.E.I.","Male","2022","[35,40[",4500,4500,0,0
"CANSIM","P.E.I.","Male","2022","[40,45[",4800,4800,0,0
"CANSIM","P.E.I.","Male","2022","[45,50[",5100,5100,0,0
"CANSIM","P.E.I.","Male","2022","[50,55[",5200,5200,0,0
"CANSIM","P.E.I.","Male","2022","[55,60[",5700,5700,0,0
"CANSIM","P.E.I.","Male","2022","[60,65[",5700,5700,0,0
"CANSIM","P.E.I.","Male","2022","[65,70[",5100,5100,0,0
"CANSIM","P.E.I.","Male","2022","[70,75[",4500,4500,0,0
"CANSIM","P.E.I.","Male","2022","[75,80[",3200,3200,0,0
"CANSIM","P.E.I.","Male","2022","[80,85[",1800,1800,0,0
"CANSIM","P.E.I.","Male","2022","[85,90[",1000,1000,0,0
"CANSIM","P.E.I.","Male","2022","[90,95[",300,300,0,0
"CANSIM","P.E.I.","Male","2022","[95,100[",100,100,0,0
"CANSIM","P.E.I.","Male","2022","[100,max[",0,0,0,
"CANSIM","P.E.I.","Female","2022","All",81800,64900,1,-20.6601466992665
"CANSIM","P.E.I.","Female","2022","[20,25[",4700,4700,0,0
"CANSIM","P.E.I.","Female","2022","[25,30[",4500,4500,0,0
"CANSIM","P.E.I.","Female","2022","[30,35[",4600,4600,0,0
"CANSIM","P.E.I.","Female","2022","[35,40[",4800,4800,0,0
"CANSIM","P.E.I.","Female","2022","[40,45[",5100,5100,0,0
"CANSIM","P.E.I.","Female","2022","[45,50[",5200,5200,0,0
"CANSIM","P.E.I.","Female","2022","[50,55[",5400,5400,0,0
"CANSIM","P.E.I.","Female","2022","[55,60[",5800,5800,0,0
"CANSIM","P.E.I.","Female","2022","[60,65[",6100,6100,0,0
"CANSIM","P.E.I.","Female","2022","[65,70[",5600,5600,0,0
"CANSIM","P.E.I.","Female","2022","[70,75[",4800,4800,0,0
"CANSIM","P.E.I.","Female","2022","[75,80[",3500,3500,0,0
"CANSIM","P.E.I.","Female","2022","[80,85[",2200,2200,0,0
"CANSIM","P.E.I.","Female","2022","[85,90[",1500,1500,0,0
"CANSIM","P.E.I.","Female","2022","[90,95[",700,700,0,0
"CANSIM","P.E.I.","Female","2022","[95,100[",300,300,0,0
"CANSIM","P.E.I.","Female","2022","[100,max[",100,100,0,0
"CANSIM","Nova Scotia","All","2022","All",968800,782700,2,-19.2093311312965
"CANSIM","Nova Scotia","All","2022","[20,25[",56900,56900,1,0
"CANSIM","Nova Scotia","All","2022","[25,30[",57700,57800,1,0.173310225303293
"CANSIM","Nova Scotia","All","2022","[30,35[",59900,59800,1,-0.1669449081803
"CANSIM","Nova Scotia","All","2022","[35,40[",59400,59400,1,0
"CANSIM","Nova Scotia","All","2022","[40,45[",56600,56600,1,0
"CANSIM","Nova Scotia","All","2022","[45,50[",57900,57900,1,0
"CANSIM","Nova Scotia","All","2022","[50,55[",62700,62700,1,0
"CANSIM","Nova Scotia","All","2022","[55,60[",73300,73300,1,0
"CANSIM","Nova Scotia","All","2022","[60,65[",76900,76900,1,0
"CANSIM","Nova Scotia","All","2022","[65,70[",69300,69300,1,0
"CANSIM","Nova Scotia","All","2022","[70,75[",58600,58500,1,-0.170648464163823
"CANSIM","Nova Scotia","All","2022","[75,80[",42900,42900,1,0
"CANSIM","Nova Scotia","All","2022","[80,85[",26100,26200,1,0.383141762452107
"CANSIM","Nova Scotia","All","2022","[85,90[",15100,15100,1,0
"CANSIM","Nova Scotia","All","2022","[90,95[",7000,7000,1,0
"CANSIM","Nova Scotia","All","2022","[95,100[",2000,2000,1,0
"CANSIM","Nova Scotia","All","2022","[100,max[",400,400,1,0
"CANSIM","Nova Scotia","Male","2022","All",472800,377700,1,-20.1142131979695
"CANSIM","Nova Scotia","Male","2022","[20,25[",29200,29200,0,0
"CANSIM","Nova Scotia","Male","2022","[25,30[",29000,29000,0,0
"CANSIM","Nova Scotia","Male","2022","[30,35[",29600,29600,0,0
"CANSIM","Nova Scotia","Male","2022","[35,40[",29300,29300,0,0
"CANSIM","Nova Scotia","Male","2022","[40,45[",27000,27000,0,0
"CANSIM","Nova Scotia","Male","2022","[45,50[",27800,27800,0,0
"CANSIM","Nova Scotia","Male","2022","[50,55[",30400,30400,0,0
"CANSIM","Nova Scotia","Male","2022","[55,60[",36000,36000,0,0
"CANSIM","Nova Scotia","Male","2022","[60,65[",37500,37500,0,0
"CANSIM","Nova Scotia","Male","2022","[65,70[",33400,33400,0,0
"CANSIM","Nova Scotia","Male","2022","[70,75[",27700,27700,0,0
"CANSIM","Nova Scotia","Male","2022","[75,80[",20000,20000,0,0
"CANSIM","Nova Scotia","Male","2022","[80,85[",11700,11700,0,0
"CANSIM","Nova Scotia","Male","2022","[85,90[",6100,6100,0,0
"CANSIM","Nova Scotia","Male","2022","[90,95[",2400,2400,0,0
"CANSIM","Nova Scotia","Male","2022","[95,100[",500,500,0,0
"CANSIM","Nova Scotia","Male","2022","[100,max[",100,100,0,0
"CANSIM","Nova Scotia","Female","2022","All",496000,405000,1,-18.3467741935484
"CANSIM","Nova Scotia","Female","2022","[20,25[",27700,27700,0,0
"CANSIM","Nova Scotia","Female","2022","[25,30[",28800,28800,0,0
"CANSIM","Nova Scotia","Female","2022","[30,35[",30200,30200,0,0
"CANSIM","Nova Scotia","Female","2022","[35,40[",30100,30100,0,0
"CANSIM","Nova Scotia","Female","2022","[40,45[",29600,29600,0,0
"CANSIM","Nova Scotia","Female","2022","[45,50[",30100,30100,0,0
"CANSIM","Nova Scotia","Female","2022","[50,55[",32300,32300,0,0
"CANSIM","Nova Scotia","Female","2022","[55,60[",37300,37300,0,0
"CANSIM","Nova Scotia","Female","2022","[60,65[",39400,39400,0,0
"CANSIM","Nova Scotia","Female","2022","[65,70[",35900,35900,0,0
"CANSIM","Nova Scotia","Female","2022","[70,75[",30800,30800,0,0
"CANSIM","Nova Scotia","Female","2022","[75,80[",22900,22900,0,0
"CANSIM","Nova Scotia","Female","2022","[80,85[",14500,14500,0,0
"CANSIM","Nova Scotia","Female","2022","[85,90[",9000,9000,0,0
"CANSIM","Nova Scotia","Female","2022","[90,95[",4600,4600,0,0
"CANSIM","Nova Scotia","Female","2022","[95,100[",1500,1500,0,0
"CANSIM","Nova Scotia","Female","2022","[100,max[",300,300,0,0
"CANSIM","New Brunswick","All","2022","All",778700,627300,2,-19.4426608449981
"CANSIM","New Brunswick","All","2022","[20,25[",41500,41500,1,0
"CANSIM","New Brunswick","All","2022","[25,30[",41800,41800,1,0
"CANSIM","New Brunswick","All","2022","[30,35[",44200,44200,1,0
"CANSIM","New Brunswick","All","2022","[35,40[",45600,45500,1,-0.219298245614035
"CANSIM","New Brunswick","All","2022","[40,45[",47100,47100,1,0
"CANSIM","New Brunswick","All","2022","[45,50[",50000,50100,1,0.2
"CANSIM","New Brunswick","All","2022","[50,55[",52600,52700,1,0.190114068441065
"CANSIM","New Brunswick","All","2022","[55,60[",60000,59900,1,-0.166666666666667
"CANSIM","New Brunswick","All","2022","[60,65[",61700,61700,1,0
"CANSIM","New Brunswick","All","2022","[65,70[",57600,57600,1,0
"CANSIM","New Brunswick","All","2022","[70,75[",48500,48500,1,0
"CANSIM","New Brunswick","All","2022","[75,80[",34800,34800,1,0
"CANSIM","New Brunswick","All","2022","[80,85[",21500,21500,1,0
"CANSIM","New Brunswick","All","2022","[85,90[",12300,12300,1,0
"CANSIM","New Brunswick","All","2022","[90,95[",5900,6000,1,1.69491525423729
"CANSIM","New Brunswick","All","2022","[95,100[",1800,1700,1,-5.55555555555556
"CANSIM","New Brunswick","All","2022","[100,max[",300,400,1,33.3333333333333
"CANSIM","New Brunswick","Male","2022","All",384800,307400,1,-20.1143451143451
"CANSIM","New Brunswick","Male","2022","[20,25[",21400,21400,0,0
"CANSIM","New Brunswick","Male","2022","[25,30[",21700,21700,0,0
"CANSIM","New Brunswick","Male","2022","[30,35[",22300,22300,0,0
"CANSIM","New Brunswick","Male","2022","[35,40[",22600,22600,0,0
"CANSIM","New Brunswick","Male","2022","[40,45[",23100,23100,0,0
"CANSIM","New Brunswick","Male","2022","[45,50[",24600,24600,0,0
"CANSIM","New Brunswick","Male","2022","[50,55[",26400,26400,0,0
"CANSIM","New Brunswick","Male","2022","[55,60[",29800,29800,0,0
"CANSIM","New Brunswick","Male","2022","[60,65[",30300,30300,0,0
"CANSIM","New Brunswick","Male","2022","[65,70[",28100,28100,0,0
"CANSIM","New Brunswick","Male","2022","[70,75[",23300,23300,0,0
"CANSIM","New Brunswick","Male","2022","[75,80[",16600,16600,0,0
"CANSIM","New Brunswick","Male","2022","[80,85[",9700,9700,0,0
"CANSIM","New Brunswick","Male","2022","[85,90[",5000,5000,0,0
"CANSIM","New Brunswick","Male","2022","[90,95[",2000,2000,0,0
"CANSIM","New Brunswick","Male","2022","[95,100[",400,400,0,0
"CANSIM","New Brunswick","Male","2022","[100,max[",100,100,0,0
"CANSIM","New Brunswick","Female","2022","All",394000,319900,1,-18.8071065989848
"CANSIM","New Brunswick","Female","2022","[20,25[",20100,20100,0,0
"CANSIM","New Brunswick","Female","2022","[25,30[",20100,20100,0,0
"CANSIM","New Brunswick","Female","2022","[30,35[",21900,21900,0,0
"CANSIM","New Brunswick","Female","2022","[35,40[",22900,22900,0,0
"CANSIM","New Brunswick","Female","2022","[40,45[",24000,24000,0,0
"CANSIM","New Brunswick","Female","2022","[45,50[",25500,25500,0,0
"CANSIM","New Brunswick","Female","2022","[50,55[",26300,26300,0,0
"CANSIM","New Brunswick","Female","2022","[55,60[",30100,30100,0,0
"CANSIM","New Brunswick","Female","2022","[60,65[",31400,31400,0,0
"CANSIM","New Brunswick","Female","2022","[65,70[",29500,29500,0,0
"CANSIM","New Brunswick","Female","2022","[70,75[",25200,25200,0,0
"CANSIM","New Brunswick","Female","2022","[75,80[",18200,18200,0,0
"CANSIM","New Brunswick","Female","2022","[80,85[",11800,11800,0,0
"CANSIM","New Brunswick","Female","2022","[85,90[",7300,7300,0,0
"CANSIM","New Brunswick","Female","2022","[90,95[",4000,4000,0,0
"CANSIM","New Brunswick","Female","2022","[95,100[",1300,1300,0,0
"CANSIM","New Brunswick","Female","2022","[100,max[",300,300,0,0
"CANSIM","Quebec","All","2022","All",8601500,6810900,2,-20.8172993082602
"CANSIM","Quebec","All","2022","[20,25[",475900,475900,1,0
"CANSIM","Quebec","All","2022","[25,30[",541700,541700,1,0
"CANSIM","Quebec","All","2022","[30,35[",563400,563400,1,0
"CANSIM","Quebec","All","2022","[35,40[",553200,553200,1,0
"CANSIM","Quebec","All","2022","[40,45[",584400,584300,1,-0.0171115674195756
"CANSIM","Quebec","All","2022","[45,50[",537500,537500,1,0
"CANSIM","Quebec","All","2022","[50,55[",523000,523000,1,0
"CANSIM","Quebec","All","2022","[55,60[",603200,603300,1,0.01657824933687
"CANSIM","Quebec","All","2022","[60,65[",629000,629000,1,0
"CANSIM","Quebec","All","2022","[65,70[",558900,558800,1,-0.0178922884236894
"CANSIM","Quebec","All","2022","[70,75[",460600,460500,1,-0.0217108119843682
"CANSIM","Quebec","All","2022","[75,80[",350000,349900,1,-0.0285714285714286
"CANSIM","Quebec","All","2022","[80,85[",218900,219000,1,0.0456829602558246
"CANSIM","Quebec","All","2022","[85,90[",129000,129100,1,0.0775193798449612
"CANSIM","Quebec","All","2022","[90,95[",63300,63300,1,0
"CANSIM","Quebec","All","2022","[95,100[",16800,16800,1,0
"CANSIM","Quebec","All","2022","[100,max[",2200,2200,1,0
"CANSIM","Quebec","Male","2022","All",4296500,3382800,1,-21.2661468637263
"CANSIM","Quebec","Male","2022","[20,25[",244100,244100,0,0
"CANSIM","Quebec","Male","2022","[25,30[",279700,279700,0,0
"CANSIM","Quebec","Male","2022","[30,35[",289200,289200,0,0
"CANSIM","Quebec","Male","2022","[35,40[",280300,280300,0,0
"CANSIM","Quebec","Male","2022","[40,45[",296300,296300,0,0
"CANSIM","Quebec","Male","2022","[45,50[",272600,272600,0,0
"CANSIM","Quebec","Male","2022","[50,55[",263800,263800,0,0
"CANSIM","Quebec","Male","2022","[55,60[",302900,302900,0,0
"CANSIM","Quebec","Male","2022","[60,65[",313000,313000,0,0
"CANSIM","Quebec","Male","2022","[65,70[",275200,275200,0,0
"CANSIM","Quebec","Male","2022","[70,75[",222900,222900,0,0
"CANSIM","Quebec","Male","2022","[75,80[",165200,165200,0,0
"CANSIM","Quebec","Male","2022","[80,85[",97800,97800,0,0
"CANSIM","Quebec","Male","2022","[85,90[",52300,52300,0,0
"CANSIM","Quebec","Male","2022","[90,95[",22300,22300,0,0
"CANSIM","Quebec","Male","2022","[95,100[",4700,4700,0,0
"CANSIM","Quebec","Male","2022","[100,max[",500,500,0,0
"CANSIM","Quebec","Female","2022","All",4305000,3428100,1,-20.3693379790941
"CANSIM","Quebec","Female","2022","[20,25[",231800,231800,0,0
"CANSIM","Quebec","Female","2022","[25,30[",262000,262000,0,0
"CANSIM","Quebec","Female","2022","[30,35[",274200,274200,0,0
"CANSIM","Quebec","Female","2022","[35,40[",272900,272900,0,0
"CANSIM","Quebec","Female","2022","[40,45[",288000,288000,0,0
"CANSIM","Quebec","Female","2022","[45,50[",264900,264900,0,0
"CANSIM","Quebec","Female","2022","[50,55[",259200,259200,0,0
"CANSIM","Quebec","Female","2022","[55,60[",300400,300400,0,0
"CANSIM","Quebec","Female","2022","[60,65[",316000,316000,0,0
"CANSIM","Quebec","Female","2022","[65,70[",283600,283600,0,0
"CANSIM","Quebec","Female","2022","[70,75[",237600,237600,0,0
"CANSIM","Quebec","Female","2022","[75,80[",184700,184700,0,0
"CANSIM","Quebec","Female","2022","[80,85[",121200,121200,0,0
"CANSIM","Quebec","Female","2022","[85,90[",76800,76800,0,0
"CANSIM","Quebec","Female","2022","[90,95[",41000,41000,0,0
"CANSIM","Quebec","Female","2022","[95,100[",12100,12100,0,0
"CANSIM","Quebec","Female","2022","[100,max[",1700,1700,0,0
"CANSIM","Ontario","All","2022","All",14980200,11786200,2,-21.3214776838761
"CANSIM","Ontario","All","2022","[20,25[",1016600,1016600,1,0
"CANSIM","Ontario","All","2022","[25,30[",1042900,1042900,1,-1.11626543126795e-14
"CANSIM","Ontario","All","2022","[30,35[",1042000,1042000,1,0
"CANSIM","Ontario","All","2022","[35,40[",1016800,1016800,1,0
"CANSIM","Ontario","All","2022","[40,45[",950100,950100,1,0
"CANSIM","Ontario","All","2022","[45,50[",924500,924500,1,0
"CANSIM","Ontario","All","2022","[50,55[",956700,956700,1,0
"CANSIM","Ontario","All","2022","[55,60[",1038500,1038500,1,0
"CANSIM","Ontario","All","2022","[60,65[",1007700,1007700,1,0
"CANSIM","Ontario","All","2022","[65,70[",861000,861000,1,0
"CANSIM","Ontario","All","2022","[70,75[",706800,706700,1,-0.0141482739105829
"CANSIM","Ontario","All","2022","[75,80[",524600,524600,1,0
"CANSIM","Ontario","All","2022","[80,85[",341100,341100,1,0
"CANSIM","Ontario","All","2022","[85,90[",212300,212300,1,0
"CANSIM","Ontario","All","2022","[90,95[",106500,106500,1,0
"CANSIM","Ontario","All","2022","[95,100[",32800,32900,1,0.304878048780488
"CANSIM","Ontario","All","2022","[100,max[",5400,5300,1,-1.85185185185185
"CANSIM","Ontario","Male","2022","All",7386600,5752000,1,-22.1292610944142
"CANSIM","Ontario","Male","2022","[20,25[",528200,528200,0,0
"CANSIM","Ontario","Male","2022","[25,30[",534200,534200,0,0
"CANSIM","Ontario","Male","2022","[30,35[",525400,525400,0,0
"CANSIM","Ontario","Male","2022","[35,40[",506900,506900,0,0
"CANSIM","Ontario","Male","2022","[40,45[",462500,462500,0,0
"CANSIM","Ontario","Male","2022","[45,50[",448300,448300,0,0
"CANSIM","Ontario","Male","2022","[50,55[",469600,469600,0,0
"CANSIM","Ontario","Male","2022","[55,60[",514100,514100,0,0
"CANSIM","Ontario","Male","2022","[60,65[",494100,494100,0,0
"CANSIM","Ontario","Male","2022","[65,70[",411900,411900,0,0
"CANSIM","Ontario","Male","2022","[70,75[",332100,332100,0,0
"CANSIM","Ontario","Male","2022","[75,80[",242200,242200,0,0
"CANSIM","Ontario","Male","2022","[80,85[",149600,149600,0,0
"CANSIM","Ontario","Male","2022","[85,90[",86500,86500,0,0
"CANSIM","Ontario","Male","2022","[90,95[",36900,36900,0,0
"CANSIM","Ontario","Male","2022","[95,100[",8600,8600,0,0
"CANSIM","Ontario","Male","2022","[100,max[",900,900,0,0
"CANSIM","Ontario","Female","2022","All",7593600,6034200,1,-20.5357142857143
"CANSIM","Ontario","Female","2022","[20,25[",488400,488400,0,0
"CANSIM","Ontario","Female","2022","[25,30[",508700,508700,0,0
"CANSIM","Ontario","Female","2022","[30,35[",516600,516600,0,0
"CANSIM","Ontario","Female","2022","[35,40[",509900,509900,0,0
"CANSIM","Ontario","Female","2022","[40,45[",487600,487600,0,0
"CANSIM","Ontario","Female","2022","[45,50[",476200,476200,0,0
"CANSIM","Ontario","Female","2022","[50,55[",487100,487100,0,0
"CANSIM","Ontario","Female","2022","[55,60[",524400,524400,0,0
"CANSIM","Ontario","Female","2022","[60,65[",513600,513600,0,0
"CANSIM","Ontario","Female","2022","[65,70[",449100,449100,0,0
"CANSIM","Ontario","Female","2022","[70,75[",374600,374600,0,0
"CANSIM","Ontario","Female","2022","[75,80[",282400,282400,0,0
"CANSIM","Ontario","Female","2022","[80,85[",191500,191500,0,0
"CANSIM","Ontario","Female","2022","[85,90[",125800,125800,0,0
"CANSIM","Ontario","Female","2022","[90,95[",69600,69600,0,0
"CANSIM","Ontario","Female","2022","[95,100[",24300,24300,0,0
"CANSIM","Ontario","Female","2022","[100,max[",4400,4400,0,0
"CANSIM","Manitoba","All","2022","All",1409100,1051000,2,-25.4133844297779
"CANSIM","Manitoba","All","2022","[20,25[",96700,96800,1,0.103412616339193
"CANSIM","Manitoba","All","2022","[25,30[",95900,95900,1,0
"CANSIM","Manitoba","All","2022","[30,35[",99400,99400,1,0
"CANSIM","Manitoba","All","2022","[35,40[",97700,97700,1,0
